UserId	Timestamp	SearchTerm
79698bf7950dd5f8	2020-01-01 00:00:24.982000	ac
79698bf7950dd5f8	2020-01-01 00:00:24.999000	acu
79698bf7950dd5f8	2020-01-01 00:00:25.012000	acut
79698bf7950dd5f8	2020-01-01 00:00:25.193000	acute n
79698bf7950dd5f8	2020-01-01 00:00:25.207000	acute nas
79698bf7950dd5f8	2020-01-01 00:00:25.250000	acute naso
79698bf7950dd5f8	2020-01-01 00:00:25.298000	acute nasop
79698bf7950dd5f8	2020-01-01 00:00:25.333000	acute nasoph
79698bf7950dd5f8	2020-01-01 00:00:25.582000	acute nasopha
79698bf7950dd5f8	2020-01-01 00:00:25.714000	acute nasophar
79698bf7950dd5f8	2020-01-01 00:00:35.012000	acute nasophar
35d54e11793a211b	2020-01-01 00:00:26.211000	LOW
a85fab26f7c400f9	2020-01-01 00:00:26.228000	Fi
96b3cea2160f0b28	2020-01-01 00:00:30.512000	obes
96b3cea2160f0b28	2020-01-01 00:00:31.077000	obese
35d54e11793a211b	2020-01-01 00:00:31.099000	brk lft fib
96b3cea2160f0b28	2020-01-01 00:00:31.234000	obes
96b3cea2160f0b28	2020-01-01 00:00:31.543000	obesi
